,Z,S,K,l,b,Q_t_hat,d_ijk
81,290970101001031,1,1,14544.51927,0.0,3.981519675221071e-05,8.232314568398639
82,290970101001031,1,2,9594.572194,0.0,4.0265385502509704e-05,6.449349030300342
83,290970101001031,1,3,2775.406018,0.0,4.0274219409788475e-05,4.037552325432368
84,290970101001032,1,0,19006.0,10.0,4.00890079043957e-05,6.17614576814936
85,290970101001032,1,1,18996.2296,0.0,4.008445474809292e-05,6.174235924869294
86,290970101001032,1,2,12531.22864,0.0,4.0272166223886763e-05,4.837011773458602
87,290970101001032,1,3,3624.887767,0.0,3.5554577466282426e-05,3.028164244166243
88,290970101001033,1,0,12920.0,4.0,3.980600582588594e-05,6.4334851751555835
89,290970101001033,1,1,12913.35823,0.0,4.02688309767517e-05,6.431495756449447
90,290970101001033,1,2,8518.545406,0.0,4.006603105421678e-05,5.038553929958734
91,290970101001033,1,3,2464.14553,0.0,4.018387462054924e-05,3.154337754244037
92,290970101001034,1,0,9492.8,6.0,4.024582324307402e-05,9.650227762733374
93,290970101001034,1,1,9487.920044,0.0,3.996218140114396e-05,9.647243632910236
94,290970101001034,1,2,6258.889151,0.0,3.984782048037799e-05,7.557830894981579
95,290970101001034,1,3,1810.498505,0.0,3.9764840545940644e-05,4.731506631250972
96,290970101001035,1,0,8653.0,10.0,4.014357518724977e-05,7.505732704348202
97,290970101001035,1,1,8648.551759,0.0,4.025492583880227e-05,7.503411714326515
98,290970101001035,1,2,5705.183699,0.0,4.013850120336906e-05,5.878312917975579
99,290970101001035,1,3,1650.329046,0.0,4.023840979963882e-05,3.680060713407465
100,290970101001036,1,0,21202.4,8.0,3.9834264594118654e-05,5.146788140124467
101,290970101001036,1,1,21191.5005,0.0,3.8424303955881965e-05,5.145196604303317
102,290970101001036,1,2,13979.38136,0.0,3.75799501341491e-05,4.030843144644446
103,290970101001036,1,3,4043.792507,0.0,4.010688484654101e-05,2.52347020345019
104,290970101001037,1,0,19706.4,10.0,4.027719718591345e-05,27.34231199441123
105,290970101001037,1,1,19696.26955,0.0,4.025718932423299e-05,27.333856962476283
106,290970101001037,1,2,12993.02347,0.0,3.9183111106370165e-05,21.413854205392916
107,290970101001037,1,3,3758.470393,0.0,4.026490804395247e-05,13.4059354558513
108,290970101001038,1,0,17860.2,2.0,3.972557986525247e-05,3.8600911050933497
109,290970101001038,1,1,17851.01862,0.0,3.975630113157158e-05,3.858897452973528
110,290970101001038,1,2,11775.76816,0.0,4.0203855276756537e-05,3.0231323576130538
111,290970101001038,1,3,3406.356966,0.0,4.017425194585964e-05,1.8926026526014725
112,290970101001040,1,0,19400.4,1.0,3.962477970720071e-05,0.6433485175155583
113,290970101001040,1,1,19390.42685,0.0,4.018004454406687e-05,0.6431495754854477
114,290970101001040,1,2,12791.26844,0.0,4.0257949875063606e-05,0.5038553929121778
115,290970101001040,1,3,3700.109051,0.0,4.026517613503508e-05,0.3154337754225266
116,290970101001043,1,0,15755.6,1.0,3.994517958773637e-05,7.7201822101866995
117,290970101001043,1,1,15747.50053,0.0,3.9344392826709876e-05,7.717794905891501
118,290970101001043,1,2,10388.14195,0.0,4.019234707069736e-05,6.046264715831848
119,290970101001043,1,3,3004.960628,0.0,4.0192671822843556e-05,3.785205305120579
120,290970101001047,1,0,36611.2,1.0,4.025120965910555e-05,1.9300455525466749
121,290970101001047,1,1,36592.37931,0.0,4.0111409556100225e-05,1.9294487265789573
122,290970101001047,1,2,24138.86761,0.0,3.9762147055911613e-05,1.5115661788620958
123,290970101001047,1,3,6982.610281,0.0,4.0253400074626716e-05,0.9463013262791791
